timeStep	 cellsAll	 cellsNonEmpty	 DVlen	 APlen	 APDVratio	 nT1	 nT2	 nD	 CPUtime 
0	100	100	10.7457	9.30605	0.866025	0	0	0	0.0100071
1	122	111	7.61701	9.19948	1.20776	1	0	11	0.335017
2	124	112	7.55933	9.14543	1.20982	0	0	1	0.661915
3	124	112	7.60076	9.09474	1.19656	0	0	0	1.02519
4	126	113	7.63686	9.04502	1.18439	0	0	1	1.3482
5	126	113	7.69028	8.99721	1.16995	0	0	0	1.67115
6	126	113	7.7551	8.9514	1.15426	0	0	0	1.99557
7	126	113	7.83181	8.90771	1.13737	0	0	0	2.3125
8	134	117	7.83499	8.86781	1.13182	0	0	4	2.63935
9	134	117	7.83524	8.8328	1.12732	0	0	0	3.02773
10	134	117	7.8787	8.79964	1.11689	0	0	0	3.40917
11	134	117	7.87875	8.79961	1.11688	0	0	0	3.76909
12	134	117	4.33643	8.57043	1.97638	0	0	0	4.13651
13	134	117	4.32354	8.37682	1.93749	0	0	0	4.57656
14	134	117	4.44566	8.19539	1.84346	1	0	0	5.0173
15	134	117	4.57698	8.02483	1.7533	0	0	0	5.49781
16	134	117	4.69211	7.86544	1.67631	3	0	0	5.89214
17	134	117	4.83481	7.72068	1.59689	0	0	0	6.26297
18	134	117	5.0264	7.58643	1.50932	1	0	0	6.62632
19	134	117	5.19541	7.46727	1.43728	1	0	0	6.99876
20	134	117	5.37135	7.36024	1.37028	3	0	0	7.38444
21	134	117	5.52498	7.26735	1.31536	1	0	0	7.79708
22	134	117	5.65003	7.18306	1.27133	2	0	0	8.21331
23	134	117	5.77332	7.11017	1.23156	1	0	0	8.59757
24	134	117	5.90915	7.04394	1.19204	2	0	0	8.98638
25	134	117	6.05788	6.987	1.15338	0	0	0	9.37376
26	134	117	6.19026	6.9398	1.12108	0	0	0	9.77414
27	134	117	6.35209	6.90052	1.08634	1	0	0	10.1716
28	134	117	6.52017	6.86926	1.05354	2	0	0	10.567
29	134	117	6.683	6.84712	1.02456	3	0	0	10.9373
30	134	117	6.88679	6.82952	0.991684	2	0	0	11.3413
31	134	117	6.99901	6.81869	0.974236	2	0	0	11.7102
